ID ; Возраст ; Тип игры ; Название игры ; Проблема поведения ; Цель ; Краткое описание ; Пошаговая инструкция ; Формат ; Вопросы для обсуждения ; Роль взрослого / как себя вести ; Подготовка / условия для игры ; Источник ; Автор / организация ; Год ;Риски/ограничения;;;
57;11–16 лет;злость, телесная осознанность;Злость внутри меня;трудность замечать телесные сигналы гнева;Научить подростков отслеживать, как злость проявляется в теле, чтобы раньше замечать нарастающий гнев.[file:336];Подростки вспоминают ситуацию злости, рисуют контур тела и закрашивают красным области, где сильнее всего чувствуют гнев, подписывая ощущения.[file:336];1. Обсудите, насколько по?разному люди переживают злость и какие телесные ощущения она может вызывать.[file:336] 2. Попросите участников нарисовать схематическое изображение своего тела. 3. Предложите вспомнить ситуацию, вызывающую злость, и минуту понаблюдать за ощущениями в разных частях тела. 4. Попросите закрасить красным все области, где злость ощущается особенно сильно, и подписать конкретные ощущения (напряжение в плечах, жар в лице и т.д.).[file:336] 5. При желании участники показывают рисунки и обсуждают сходства и различия. 6. Сделайте вывод о том, как эти сигналы могут предупреждать о приближении вспышки гнева.[file:336];индивидуальная работа + обсуждение;Какие телесные ощущения ты чаще всего замечаешь, когда злишься?[file:336] На какую часть тела злость влияет сильнее всего? Как это знание может помочь вовремя остановиться?;Бережно относиться к личным историям, предлагать взять рисунок домой и дорисовать его при реальной злости, если сейчас ощущения уловить сложно.[file:336];Бумага, простые и красные цветные карандаши.[file:336];Программа упражнений по работе с гневом («Злость внутри меня»);не указан;нет данных;Не проводить с детьми в остром посттравматическом состоянии без индивидуальной поддержки.[file:336];;;
58;11–16 лет;злость, навыки совладания;Высвобождение злости;использование деструктивных способов разрядки (крики, агрессия);Помочь подросткам отличать негативные и конструктивные способы выражения злости и потренировать более здоровые реакции.[file:336];В парах разыгрываются ситуации злости с акцентом на привычные негативные реакции, затем обсуждаются и ищутся продуктивные варианты поведения.[file:336];1. Обсудите распространённые способы справляться со злостью и соберите примеры как позитивных, так и негативных стратегий.[file:336] 2. Разделите группу на пары. 3. Раздайте каждой паре сценарий типичной ситуации (игнорирование, неуважение и т.п.), попросите отыграть её с акцентом на неэффективных способах выражения гнева.[file:336] 4. Дайте пару минут на подготовку сценки. 5. Проведите ролевые игры (по 1–3 минуты на каждую). 6. После каждой сценки обсудите, как можно было выразить злость более конструктивно, и при желании переиграйте ситуацию с новыми реакциями.[file:336];работа в парах + групповое обсуждение;Какие способы выражения злости вы чаще всего показали в сценках?[file:336] Что вы чувствуете, когда на вас выплёскивают злость? Какие новые варианты реакции вы для себя открыли?;С заранее оговорёнными правилами безопасности, внимательно отслеживать эмоциональное состояние детей, при необходимости останавливать сценку и возвращаться к обсуждению.[file:336];Желательно иметь реквизит для ролевых игр (стулья, предметы), но можно обойтись без него.[file:336];Программа упражнений по управлению гневом («Высвобождение злости»);не указан;нет данных;Следить за тем, чтобы ролевые игры не переходили в реальные конфликты и не нарушались личные границы.[file:336];;;
59;11–16 лет;злость, арт?терапия;Крик;накопленная злость, трудность выражать её словами;Дать подросткам возможность через искусство осознать свои источники гнева и чувства «крика изнутри».[file:336];На основе картины Э. Мунка «Крик» участники обсуждают похожие переживания и создают собственный рисунок, подписывая источники злости.[file:336];1. Обсудите наиболее частые причины злости у детей и подростков, соберите дополнительные примеры.[file:336] 2. Покажите репродукцию картины Эдварда Мунка «Крик» и попросите описать, что происходит на картине и какие чувства там изображены. 3. Предложите вспомнить ситуации, когда они чувствовали себя как герой картины, и кратко ими поделиться. 4. Объясните, что теперь каждый создаёт свой вариант «крика» с помощью рисунка или коллажа. 5. Попросите подписать на своих работах источники злости, которые вызывают похожие ощущения.[file:336] 6. Предложите добровольно показать рисунки группе и обсудить их.;индивидуальная арт?работа + обсуждение;Расскажи о ситуации, когда ты чувствовал(а) себя как человек на картине.[file:336] Почему, по?твоему, люди выражают гнев через искусство? Как понимание причин твоей злости может помочь не давать ей «захлестнуть» тебя?;Создавать безопасную атмосферу, не критиковать художественные способности, поощрять любые формы выражения (символы, абстракция).[file:336];Репродукция картины «Крик», бумага, карандаши, цветные карандаши или фломастеры.[file:336];Программа арт?упражнений по работе с гневом («Крик»);не указан;нет данных;Могут всплывать тяжёлые истории; важно ограничивать уровень детализации и при необходимости предлагать личную беседу.[file:336];;
60;11–16 лет;злость, последствия;Последствия собственной злости;отсутствие связи между вспышками гнева и их последствиями;Помочь подросткам увидеть последствия своих вспышек злости и найти альтернативные варианты поведения.[file:336];Подростки рисуют комикс о собственной вспышке гнева и её последствиях, затем вариант той же ситуации с более конструктивной реакцией.[file:336];"1. Обсудите, как люди обычно ведут себя, когда злятся, и приведите примеры как позитивных, так и негативных способов выражения злости.[file:336] 2. Попросите вспомнить конкретный случай, когда участник выразил злость не лучшим образом, и что потом произошло. 3. Предложите нарисовать небольшой комикс из нескольких кадров, показывающий эту ситуацию и её последствия. 4. Затем нарисовать второй комикс с тем же началом, но с более конструктивным выражением злости и другим итогом.[file:336] 5. По желанию дать возможность поделиться работами и обсудить различия между двумя вариантами. 6. Подчеркните идеюПродолжаю нумерацию блоком про злость: 56–66.

```text
ID;Возраст;Тип игры;Название игры;Проблема поведения;Цель;Краткое описание;Пошаговая инструкция;Формат;Вопросы для обсуждения;Роль взрослого / как себя вести;Подготовка / условия для игры;Источник;Автор / организация;Год;Риски/ограничения
56;11–16 лет;злость, триггеры;Что меня злит;импульсивные вспышки злости без осознания причин;Помочь подросткам выявить свои личные триггеры злости и сгруппировать их по типам.;Подростки выписывают ситуации, людей и места, которые вызывают злость, распределяют их по категориям и выбирают главные триггеры для обсуждения.;1. Дайте определение триггеров злости как людей, мест и ситуаций, которые вызывают грусть, раздражение или злость. 2. Попросите детей в формате мозгового штурма набросать распространённые причины злости. 3. Обсудите, как обычные состояния (голод, усталость, одиночество, чувство несправедливости) могут усиливать злость. 4. Попросите отдельно выписать как можно больше триггеров и разнести их по трём колонкам: люди, места, ситуации. 5. Пусть каждый выберет пять своих главных триггеров и, по желанию, поделится ими с группой. 6. Обсудите общие и неожиданные причины злости, которые прозвучали.""";индивидуальная работа + групповое обсуждение;Какие причины злости оказались самыми распространёнными? Какие ответы тебя удивили? Как знание своих личных триггеров может помочь по?другому реагировать в будущем?;Поддерживать уважительную атмосферу, помогать примерами в каждой категории, напоминать, что у злости могут быть очень разные причины и нет «неправильных» ответов.;Бумага и карандаши.;Программа упражнений по работе с злостью у подростков («Что меня злит»);не указан;нет данных;Может поднять болезненные ситуации; важно не заставлять делиться личными историями и следить за безопасностью в группе.[1];;
57;11–16 лет;злость, телесная осознанность;Злость внутри меня;трудности замечать телесные сигналы злости;Развить у подростков умение распознавать телесные проявления злости.;Участники рисуют схематическое тело и отмечают красным зоны, где сильнее всего ощущают злость, подписывая виды ощущений.;1. Обсудите, насколько по?разному может ощущаться злость, и составьте общий список возможных телесных проявлений (напряжение в плечах, сжатые кулаки и т.д.). 2. Попросите каждого нарисовать контур собственного тела на листе бумаги. 3. Предложите вспомнить ситуацию, вызывающую злость, и несколько секунд прислушаться к ощущениям в разных частях тела. 4. Попросите закрасить красным все области, на которые эта эмоция особенно влияет, и рядом коротко подписать возникающие ощущения. 5. Дайте возможность желающим показать свои рисунки и обсудить сходства и различия. 6. Обсудите, как знание первых телесных сигналов может стать «ранним предупреждением» о нарастающем гневе.;индивидуальная работа + обсуждение;Какие телесные ощущения ты чаще всего замечаешь, когда злишься? На какую часть тела злость влияет сильнее всего? Как это знание может помочь тебе остановиться раньше?;Следить, чтобы воспоминания о ситуациях не были чрезмерно травматичными; при необходимости предложить дорисовать дома, когда участник действительно почувствует злость.;Бумага, простые карандаши и красный карандаш/фломастер.;Программа упражнений по телесной осознанности и злости («Злость внутри меня»);не указан;нет данных;Может быть тяжело детям с травматичным опытом; важно не углубляться в подробности ситуации, фокусируясь на ощущениях.[1];
58;11–16 лет;злость, копинг?стратегии;Высвобождение злости;использование деструктивных способов разрядки (агрессия, саморазрушение);Научить отличать непродуктивные способы выражения злости от конструктивных и потренировать альтернативные реакции.;В парах разыгрываются сценки с негативными реакциями на злость, после чего группа обсуждает и ищет более продуктивные варианты.;1. Обсудите распространённые способы справляться со злостью, выписывая как позитивные, так и негативные примеры. 2. Разделите группу на пары. 3. Раздайте каждой паре сценарий типичной провоцирующей ситуации (игнорирование, насмешки, несправедливость) с задачей сначала показать именно негативные способы высвобождения злости. 4. Дайте несколько минут на подготовку. 5. Отведите по 1–3 минуты на проигрывание каждой сцены. 6. После каждой сценки обсудите, какие ещё, более конструктивные, варианты поведения были бы возможны, и при желании разыграйте их повторно.;пары + групповое обсуждение;Какие способы выражения злости вы чаще всего использовали в сценках? Как вы себя чувствуете, когда злость выплёскивают на вас? Какие новые идеи конструктивных реакций вы сегодня заметили?;Сразу задать правила безопасности и уважения личного пространства, при признаках сильного волнения останавливать игру и возвращать группу к обсуждению, помогать придумывать альтернативные сценарии.;Желательно подготовить простые сценарии и, при возможности, реквизит для ролевых игр.;Программа упражнений по навыкам управления гневом у подростков («Высвобождение злости»);не указан;нет данных;Ролевые игры могут «зацепить» реальные конфликты; важно не позволять сценкам перерасти в настоящий спор.[1];;
59;11–16 лет;злость, арт?терапия;Крик;силён внутренний гнев, трудно говорить словами;Помочь подросткам через образ и рисунок осознать свои источники сильной злости.;На основе картины Эдварда Мунка «Крик» участники создают собственные рисунки и подписывают, какие ситуации заставляют их чувствовать подобный крик.;1. Обсудите с группой типичные причины сильной злости у детей и подростков и соберите дополнительные примеры. 2. Покажите репродукцию картины «Крик» и попросите описать, что, по их мнению, происходит на картине и что чувствует человек. 3. Предложите вспомнить ситуации, когда они сами чувствовали себя так же. 4. Объясните, что теперь каждый создаёт свою версию картины, используя доступные материалы. 5. Попросите на рисунках подписать источники злости, которые вызывают настолько сильные чувства. 6. По желанию дайте возможность участникам поделиться рисунками и обсудить их.;индивидуальная арт?работа + обсуждение;Вспомни ситуацию, когда ты чувствовал(а) себя как герой картины: что тогда происходило? Почему, на твой взгляд, людям иногда легче выражать гнев через искусство? Как понимание своих «самых громких» причин злости помогает не дать им полностью захватывать тебя?;Бережно относиться к личным историям, поощрять творческое самовыражение, а не художественное качество, иметь под рукой альтернативные, менее интенсивные задания для тех, кому тема даётся тяжело.;Репродукция картины «Крик», бумага, карандаши, цветные карандаши или фломастеры.;Программа упражнений по работе с сильным гневом у подростков («Крик»);не указан;нет данных;Может активировать тяжёлые переживания; важно не требовать делиться содержанием рисунка, если ребёнок не готов.[1];;
60;11–16 лет;злость, последствия;Последствия собственной злости;неосознание последствий агрессивных реакций;Помочь подросткам увидеть цепочку «вспышка злости — последствия» и найти более конструктивные варианты поведения.;Подростки рисуют два коротких комикса: как они однажды выразили злость и к чему это привело, и как можно было бы отреагировать иначе.;1. Обсудите, как люди ведут себя, когда злятся, приводя как позитивные, так и негативные примеры. 2. Попросите вспомнить конкретный случай, когда они выразили злость не лучшим образом, и что произошло потом. 3. Предложите нарисовать небольшой комикс (например, из 4–5 кадров), иллюстрирующий эту вспышку и её последствия. 4. Затем — второй комикс о том же событии, но с более конструктивной реакцией и другим результатом. 5. Дайте время желающим показать свои работы и обсудить, что изменилось во втором варианте.;индивидуальная арт?работа + обсуждение;Почему тогда ты выбрал(а) именно такое поведение? Какие последствия твоей злости были самыми неприятными? Как знание этих последствий может помочь в следующий раз выбрать другой способ реагирования?;Подчёркивать идею, что прошлое изменить нельзя, но можно учиться на опыте, при необходимости помогать подобрать менее тяжёлые ситуации для примера.;Бумага, карандаши, цветные карандаши или фломастеры; полезно подготовить образец простого комикса.;Программа упражнений по осознанию последствий гнева у подростков («Последствия собственной злости»);не указан;нет данных;Работа с прошлым опытом может вызвать чувство вины; важно переводить акцент с самокритики на обучение и выбор новых стратегий.[1];
61;11–16 лет;злость, социальные сети;Злость на социальные сети;раздражение и гнев из?за контента в соцсетях;Помочь подросткам осознать, какие посты провоцируют злость, и найти здоровые способы реакции.;Участники анализируют свой опыт в соцсетях, придумывают пример «злящего» поста и обсуждают, как можно реагировать конструктивно.;1. Попросите назвать любимые соцсети и прикинуть, сколько времени в день они там проводят. 2. Обсудите, какие чувства чаще всего возникают при просмотре ленты. 3. Попросите привести примеры, как посты или комментарии в соцсетях становились причиной злости или раздражения. 4. Предложите нарисовать или описать пример поста, который вызывает у них злость или фрустрацию. 5. Дайте возможность желающим поделиться своими примерами и рассказать, что именно в них злит. 6. Обсудите, какие есть здоровые способы реагировать: пролистывать, блокировать, жаловаться на контент, обсуждать чувства с кем?то, делать паузу в использовании соцсетей.;индивидуальная работа + групповое обсуждение;Какие плюсы дают соцсети, несмотря на все раздражающие моменты? Что ты обычно делаешь, когда тебя злит пост? Какие способы реакции, о которых мы говорили, ты готов попробовать?;Следить, чтобы реальные посты и имена не использовались для травли, мягко обсуждать неуместность агрессивной лексики и токсичных форматов общения.;Бумага и карандаши.;Программа упражнений по работе с эмоциями в соцсетях у подростков («Злость на социальные сети»);не указан;нет данных;При обсуждении может всплыть кибербуллинг; важно иметь план дальнейших шагов поддержки.[1];;
62;11–16 лет;злость, интенсивность;Мишень для злости;неумение различать уровни злости, «всё или ничего»;Научить подростков различать степень злости и связывать её с конкретными триггерами.;Группа создаёт общую «мишень злости» с уровнями интенсивности и распределяет по ней триггеры на самоклеящихся листках.;1. Обсудите чувство злости и предложите группе придумать пять уровней её интенсивности (например, раздражение, разочарование, расстройство, злость, ярость). 2. Совместно дайте каждому уровню краткое описание и примеры ситуаций. 3. Попросите детей составить список как минимум из пяти личных триггеров и записать каждый на отдельной стикер?записке. 4. По очереди участники читают написанное и прикрепляют стикер к тому кольцу мишени, которое, по их мнению, соответствует силе их злости. 5. Продолжайте, пока все стикеры не окажутся на мишени, затем обсудите, какие зоны заполнились больше. 6. Подведите итоги: чем отличаются реакции при разных уровнях злости и какие стратегии подходят для каждого уровня.;группа 6–20 человек;Какие триггеры чаще всего оказывались в центре мишени — на уровне сильного гнева? Что злит тебя сильнее всего? Как может помочь знание «уровней злости» в выборе способа реагирования?;Следить, чтобы никто не осмеивал чужие стикеры, поощрять размышления о том, как один и тот же триггер может вызывать разную силу реакции в разных ситуациях.;Маркерная доска или ватман с заранее нарисованной мишенью из пяти колец, маркеры, стикеры и карандаши.;Программа упражнений по шкале гнева у подростков («Мишень для злости»);не указан;нет данных;Важно объяснить, что степени злости субъективны; исключить сравнения «у кого злоба правильнее».[1];;
63;11–16 лет;злость, телесные признаки;Спидометр для злости;отсутствие навыка замечать нарастающий гнев;Помочь подросткам связать уровни злости с конкретными физическими признаками, чтобы вовремя останавливаться.;Участники рисуют цветной «спидометр злости» от спокойствия до ярости и вписывают телесные признаки на разных уровнях.;1. Обсудите, какие физические ощущения появляются у детей, когда они начинают злиться, и как они усиливаются. 2. Попросите нарисовать на большом листе бумаги спидометр, где левая сторона — спокойствие, правая — сильный гнев. 3. Предложите назначить разные цвета для разных уровней интенсивности (например, зелёный — спокойствие, жёлтый — раздражение, красный — ярость). 4. Дайте время вспомнить, какие телесные признаки появляются на каждом уровне. 5. Попросите подписывать эти признаки в соответствующих зонах спидометра (например, «щёки горят» — в зоне «расстройство»). 6. Обсудите, какие ранние признаки помогают заметить рост злости до её пика.;индивидуальная или парная работа + обсуждение;Каковы самые первые сигналы, что ты начинаешь злиться? Какие телесные признаки показывают, что ситуация может выйти из?под контроля? Как ты можешь использовать свой «спидометр» в реальной жизни?;Помогать участникам вспоминать ситуации, не углубляясь в травматичный опыт, поощрять использование разных цветов и творческий подход.;Большие листы бумаги, цветные карандаши или фломастеры; подготовленный образец спидометра.;Программа упражнений по саморегуляции злости у подростков («Спидометр для злости»);не указан;нет данных;Не стоит использовать спидометр для сравнения «кто сильнее злится»; это личный инструмент самонаблюдения.[1];
64;11–16 лет;злость, эмоциональная грамотность;Больше чем просто «злость»;обобщение разных чувств под одним словом «злюсь»;Расширить словарный запас для описания неприятных эмоций, связанных со злостью.;Группа собирает слова, связанные со злостью, участники выбирают несколько, дают им определения и вспоминают жизненные примеры.;1. Попросите дать собственное определение слову «злость». 2. Объясните, что этим словом часто называют много разных чувств — от обиды до отвращения. 3. Составьте на доске список слов?ассоциаций, которые участники связывают со злостью (обида, унижение, раздражение, стыд и т.п.). 4. Предложите каждому выбрать пять слов из списка и написать к ним свои определения. 5. Попросите записать примеры ситуаций, когда они испытывали именно эти чувства. 6. Дайте возможность поделиться определениями и примерами, затем раздайте подготовленный список эмоций и обсудите, как точные названия помогают лучше понимать себя.;индивидуальная работа + групповое обсуждение;Какие ещё эмоции ты чаще всего чувствуешь, когда говоришь «я злюсь»? Как меняется отношение к ситуации, если назвать эмоцию точнее? Как знание разных названий чувств помогает уменьшить уровень злости и фрустрации?;При необходимости сразу раздать список эмоций как подсказку, поощрять аккуратное использование примеров без упоминания конкретных одноклассников.;Маркерная доска и маркеры, бумага и карандаши; заранее подготовленный список слов, описывающих эмоции.;Программа упражнений по развитию эмоционального словаря у подростков («Больше чем просто «злость»»);не указан;нет данных;Требует базовой готовности говорить об эмоциях; некоторым подросткам может быть неловко — важно сохранять уважительный тон.[1];
65;11–16 лет;злость, самоподдержка;Успокаивающий плейлист;нет конструктивных способов саморегуляции, кроме «взорваться» или «замолчать»;Помочь подросткам использовать музыку как инструмент безопасного выражения и снижения злости.;Подростки обсуждают, как музыка влияет на их состояние, и составляют личный плейлист из 10 треков, помогающих справляться со злостью.;1. Попросите рассказать о любимых исполнителях и о том, чем они привлекают. 2. Обсудите, как музыка может помогать успокоиться, выразить эмоции и конструктивно выпустить злость. 3. Попросите назвать по одной песне, которая помогает, когда они злятся или расстроены, и объяснить, почему именно она. 4. Предложите каждому составить свой успокаивающий плейлист из 10 композиций (или исполнителей/жанров, если точные названия вспомнить сложно). 5. Дайте возможность желающим поделиться плейлистами и выбрать понравившиеся идеи у других.;индивидуальная работа + обмен в группе;Как музыка помогает тебе справляться со злостью? Какие песни из плейлистов других ребят тебе особенно понравились? Как наличие такого плейлиста может помочь не доводить злость до взрыва?;Не осуждать музыкальные вкусы, в том числе тяжёлые жанры, если тексты не нарушают границы других; при возможности позволить искать треки в интернете.;Бумага и карандаши; при наличии — доступ к интернету или музыкальному сервису.;Программа упражнений по саморегуляции с помощью музыки у подростков («Успокаивающий плейлист»);не указан;нет данных;Важно отслеживать содержание треков, чтобы оно не усиливало самоповреждающее или агрессивное поведение в группе.[1];
66;11–16 лет;злость, коммуникация;Это не вы;агрессивное «ты?сообщение», обвинения вместо диалога;Научить подростков использовать я?сообщения для более продуктивного выражения злости.;В ролевых играх участники разыгрывают провокационные ситуации, а затем пересказывают свои реплики в формате я?сообщений.;1. Попросите детей рассказать, что чаще всего их злит и как они обычно реагируют. 2. Введите понятие я?сообщений и объясните, чем они отличаются от обвинительных ты?сообщений, приведите несколько примеров. 3. Разделите подростков на группы по 2–3 человека и раздайте каждой сценарий типичной конфликтной ситуации. 4. Дайте время обсудить сценарий внутри группы и подготовить ролёвку. 5. Предложите разыграть сценку в свободном формате. 6. В подходящий момент остановите игру и попросите участников переформулировать свои фразы в виде я?сообщений. 7. Возобновите сценку и посмотрите, как изменится диалог. 8. В конце обсудите роль я?сообщений в снижении накала злости.;малые группы + общее обсуждение;Как я?сообщения повлияли на развитие каждой сценки? Почему так трудно общаться конструктивно, когда мы злимся? Как использование я?сообщений может помочь меньше злиться и быстрее понимать друг друга?;Привести чёткие примеры я? и ты?сообщений, мягко останавливать ролевые игры при повышении накала, следить за безопасностью и уважением.;Специальные материалы не нужны; подготовьте несколько сценариев типичных конфликтных ситуаций.;Программа упражнений по развитию коммуникативных навыков при злости у подростков («Это не вы»);не указан;нет данных;При обсуждении реальных конфликтов важно не переходить к разбору конкретных одноклассников и сохранять фокус на навыках, а не на «кто прав».[1];;
67;11–16 лет;тревожность, арт?терапия;Портрет тревожности;неосознанная, размытая тревога;Помочь подросткам исследовать свою тревожность и придать ей личную форму через творчество.[file:342];Участники дают своё определение тревожности и создают художественный «портрет тревоги» из рисунка или коллажа, затем делятся инсайтами.[file:342];1. Попросите детей описать тревожность своими словами и обсудите, как по?разному люди могут её переживать.[file:342] 2. Дайте несколько минут подумать, что для них значит тревога и как она влияет на их жизнь. 3. Выделите около 15 минут на создание портрета тревожности с помощью рисунка, коллажа или смешанной техники.[file:342] 4. Пока участники работают, задавайте вопросы вроде «Как тревожность выглядит для тебя?» или «Если бы тревога была существом, какой бы она была?». 5. Предложите желающим показать и кратко описать свои портреты. 6. Обсудите, какие открытия о тревоге сделали участники.[file:342];индивидуальная арт?работа + обсуждение;Как творчество помогает тебе дать личное определение тревожности?[file:342] Какие инсайты у тебя появились во время работы? Как понимание собственной тревоги может помочь уменьшить её в будущем?;Подчёркивать, что нет правильных и неправильных портретов, не заставлять показывать рисунок, если ребёнок не готов, обеспечивать разнообразие материалов для вдохновения.[file:342];Бумага, простые и цветные карандаши, фломастеры, клей, старые журналы или распечатанные изображения, связанные с тревогой.[file:342];Глава о работе с тревожностью у детей и подростков («Портрет тревожности»);не указан;нет данных;Могут подняться личные, болезненные темы; важно соблюдать конфиденциальность и не оценивать глубину тревог.[file:342];;
